Title,Subject,Grade,Board,FileURL,Description
primer mathematics class pre 1,Mathematics,Pre-1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/19m8yrU20whmA7vVkEf6i6Ej7rbkPJBbv/preview,Official PCTB primer mathematics class pre 1 e-book / textbook.
Primer English pre 1,English,Pre-1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1G1H_iVUiKOmAY1MUWr4wSVJISbeoUB0Z/preview,Official PCTB Primer English pre 1 e-book / textbook.
Primer Urdu pre 1,Urdu,Pre-1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1ZOzM3hFOXkTLzfbTJ3JSLnWcftxZ0mg3/preview,Official PCTB Primer Urdu pre 1 e-book / textbook.
Neela Qaida (Optional) SRM Pre 1,Qaida / Foundation,Pre-1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/12eVQL6knNPkA3CVpJvNIXOYmeYK21Aws/preview,Official PCTB Neela Qaida (Optional) SRM Pre 1 e-book / textbook.
TAJVEEDI QAIDA class 1,Islamic Studies,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1ohWq-zOojLu0vPut9zBqUUqoiyY1gFGF/preview,Official PCTB TAJVEEDI QAIDA class 1 e-book / textbook.
Urdu Class 1,Urdu,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/17o-AGE3z00m-z8Kih389pmAeWolTxA2N/preview,Official PCTB Urdu Class 1 e-book / textbook.
English-Class 1,English,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1qdIPBXxaVHia6BVInY8uXWmzKkzGZ09Y/preview,Official PCTB English-Class 1 e-book / textbook.
"Math Class 1, English medium",Mathematics,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1c4x62XDG-TbhF2-Aj_VIxhnm-8t8e2Ua/preview,"Official PCTB Math Class 1, English medium e-book / textbook."
"Waqfiyat e Aama Class 1, Urdu Medium",Urdu,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1pyHTreo1lqtubCL0iGBZDNFwoRaebxAG/preview,"Official PCTB Waqfiyat e Aama Class 1, Urdu Medium e-book / textbook."
"Islamiat Class 1, Urdu Medium",Urdu,1,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1wcbkbayvUt5nv_GSvHBdVBMplTuGwLVR/preview,"Official PCTB Islamiat Class 1, Urdu Medium e-book / textbook."
