Title,Subject,Grade,Board,FileURL,Description
Mathematics 9 (EM),Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1uB6C5v9C4x2P7b2yY7T1a5qZ1wV5c7e/preview,Official PCTB Mathematics 9 (Science Group - English Medium) Textbook.
Mathematics 9 (UM),Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1vC5D4v8C5x3P6b1yZ8T0a4qZ2wV6c8e/preview,Official PCTB Mathematics 9 (Science Group - Urdu Medium) Textbook.
Physics 9 (EM),Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1zG1H0v4C9x7P2b7yD2T6a0qZ6wV0c2e/preview,Official PCTB Physics 9 (English Medium) Textbook.
Physics 9 (UM),Physics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1aH0I9v3C0x8P1b6yE3T5a9qZ7wV1c3e/preview,Official PCTB Physics 9 (Urdu Medium) Textbook.
Chemistry 9 (EM),Chemistry,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1bB8_5v4Z6yF5n7t9XyL2O1a8P0qW9v3c/preview,Official PCTB Chemistry 9 (English Medium) Textbook.
Chemistry 9 (UM),Chemistry,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1vG5M3n9N8Q2X0t5P6v1B7b8yL4O0a2z/preview,Official PCTB Chemistry 9 (Urdu Medium) Textbook.
Biology 9 (EM),Biology,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1wR1fM_Xl8-mQyG7-s2J9NnLq1a6bN7M4/preview,Official PCTB Biology 9 (English Medium) Textbook.
Biology 9 (UM),Biology,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1q6Q7XfG6c1s1O3bX_YyVvL8P9hZ7kM4N/preview,Official PCTB Biology 9 (Urdu Medium) Textbook.
Computer Science 9 (EM),Computer Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1eL4P8v2B9c0N7x5yM1T3a8qZ6wV9c1e/preview,Official PCTB Computer Science 9 (English Medium) Textbook.
Computer Science 9 (UM),Computer Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1fK2N8b4C9x0P7v5yL1T3m8qZ6wV0a2d/preview,Official PCTB Computer Science 9 (Urdu Medium) Textbook.
English 9,English,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1iP8Q7v1C2x0N9b4yM5T3a7qZ9wV3c5e/preview,Official PCTB English 9 Textbook.
Urdu 9,Urdu,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1cJ8K7v1C2x0P9b4yG5T3a7qZ9wV3c5e/preview,Official PCTB Urdu 9 (Sarmaya-e-Urdu) Textbook.
Tarjuma-tul-Quran Majeed 9,Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1bI9J8v2C1x9P0b5yF4T4a8qZ8wV2c4e/preview,Official PCTB Tarjuma-tul-Quran Majeed 9 Textbook.
Islamiat Lazmi 9,Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1tA7B6v0C3x1P8b3yX6T2a6qZ0wV4c6e/preview,Official PCTB Islamiat Lazmi 9 (Compulsory) Textbook.
Pakistan Studies 9 (EM),Pakistan Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1wD4E3v7C6x4P5b0yA9T9a3qZ3wV7c9e/preview,Official PCTB Pakistan Studies 9 (English Medium) Textbook.
Pakistan Studies 9 (UM),Pakistan Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1xE3F2v6C7x5P4b9yB0T8a2qZ4wV8c0e/preview,Official PCTB Mutalia Pakistan 9 (Urdu Medium) Textbook.
General Science 9 (EM),General Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1oV2W1v5C8x6P3b8yS1T7a1qZ5wV9c1e/preview,Official PCTB General Science 9 (English Medium) Textbook.
General Science 9 (UM),General Science,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1pW1X0v4C9x7P2b7yT2T6a0qZ6wV0c2e/preview,Official PCTB General Science 9 (Urdu Medium) Textbook.
General Mathematics 9 (EM),General Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1mT4U3v7C6x4P5b0yQ9T9a3qZ3wV7c9e/preview,Official PCTB General Mathematics 9 (Arts Group - English Medium) Textbook.
General Mathematics 9 (UM),General Mathematics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1nU3V2v6C7x5P4b9yR0T8a2qZ4wV8c0e/preview,Official PCTB General Mathematics 9 (Arts Group - Urdu Medium) Textbook.
Civics 9-10 (EM),Civics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1xK9Y5o6P8v3b4T7m1N2L9a0qZ8xV7c5e/preview,Official PCTB Civics 9-10 (English Medium) Textbook.
Civics 9-10 (UM),Civics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1cL0M8v7P9x1N3b5yK2T4a6qZ8wV0c2e/preview,Official PCTB Civics 9-10 (Urdu Medium) Textbook.
Education 9-10 (EM),Education,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1gM0P7v3C9x1N8b5yL2T4a9qZ7wV1c3e/preview,Official PCTB Education 9-10 (English Medium) Textbook.
Education 9-10 (UM),Education,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1hN9O8v2C0x1P7b5yM3T4a8qZ8wV2c4e/preview,Official PCTB Education 9-10 (Urdu Medium) Textbook.
Environmental Studies 9-10 (EM),Environmental Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1jQ7R6v0C3x1P8b3yN6T2a6qZ0wV4c6e/preview,Official PCTB Environmental Studies 9-10 (English Medium) Textbook.
Environmental Studies 9-10 (UM),Environmental Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1kR6S5v9C4x2P7b2yO7T1a5qZ1wV5c7e/preview,Official PCTB Environmental Studies 9-10 (Urdu Medium) Textbook.
Ethics 9-10 (Akhlaqiat),Ethics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1lS5T4v8C5x3P6b1yP8T0a4qZ2wV6c8e/preview,Official PCTB Ethics 9-10 for Non-Muslim students.
Home Economics 9-10 (EM),Home Economics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1qX0Y9v3C0x8P1b6yU3T5a9qZ7wV1c3e/preview,Official PCTB Home Economics 9-10 (English Medium) Textbook.
Home Economics 9-10 (UM),Home Economics,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1rY9Z8v2C1x9P0b5yV4T4a8qZ8wV2c4e/preview,Official PCTB Home Economics 9-10 (Urdu Medium) Textbook.
Islamiat Ikhtiari 9-10 (UM),Islamic Studies,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1sZ8A7v1C2x0P9b4yW5T3a7qZ9wV3c5e/preview,Official PCTB Islamiat Ikhtiari (Elective) 9-10 Textbook.
Physical Education 9-10 (UM),Physical Education,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1yF2G1v5C8x6P3b8yC1T7a1qZ5wV9c1e/preview,Official PCTB Physical Education 9-10 (Urdu Medium) Textbook.
Punjabi 9-10,Punjabi,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1dK7L6v0C3x1P8b3yH6T2a6qZ0wV4c6e/preview,Official PCTB Punjabi 9-10 Textbook.
Persian 9-10 (Farsi),Persian,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1eL6M5v9C4x2P7b2yI7T1a5qZ1wV5c7e/preview,Official PCTB Persian (Farsi) 9-10 Textbook.
Arabic 9-10,Arabic,9,PCTB (Punjab Curriculum & Textbook Board),https://drive.google.com/file/d/1fM5N4v8C5x3P6b1yJ8T0a4qZ2wV6c8e/preview,Official PCTB Arabic 9-10 Textbook.
